Timestamp,Screen_Brightness,Screen_On,RSRP_dBm,Network_Type,WiFi_RSSI,CPU_Freq_Avg_MHz,CPU_Total%,CPU_User%,CPU_Idle%,Load1min,Load5min,Load15min,Wakelock_Count
2026/01/30 16:28:48,25.9,1,,Wi-Fi,-27,1264.8,54,32,46,13.85,14.41,14.16,2
2026/01/30 16:28:57,25.9,1,,Wi-Fi,-27,1300.8,54,33,46,14.18,14.47,14.18,2
2026/01/30 16:29:06,25.9,1,,Wi-Fi,-27,1204.8,55,33,45,14.15,14.45,14.18,2
2026/01/30 16:29:15,25.9,1,,Wi-Fi,-28,1041.6,55,33,45,13.96,14.41,14.17,2
2026/01/30 16:29:25,25.9,1,,Wi-Fi,-27,1262.4,55,33,45,14.2,14.44,14.18,2
2026/01/30 16:29:34,25.9,1,,Wi-Fi,-28,1068.0,55,33,45,14.58,14.51,14.21,4
2026/01/30 16:29:43,25.9,1,,Wi-Fi,-26,938.4,55,33,45,14.18,14.43,14.18,2
2026/01/30 16:29:53,25.9,1,,Wi-Fi,-28,1096.8,55,33,45,14.24,14.44,14.19,2
2026/01/30 16:30:02,25.9,1,,Wi-Fi,-27,1238.4,56,33,44,14.35,14.46,14.2,2
2026/01/30 16:30:11,25.9,1,,Wi-Fi,-26,1190.4,56,33,44,14.96,14.59,14.24,2
2026/01/30 16:30:20,25.9,1,,Wi-Fi,-26,1190.4,57,33,43,16.01,14.83,14.33,2
2026/01/30 16:30:30,25.9,1,,Wi-Fi,-26,1363.2,57,33,43,15.54,14.77,14.31,2
2026/01/30 16:30:39,25.9,1,,Wi-Fi,-28,1154.4,57,33,43,15.07,14.69,14.29,2
2026/01/30 16:30:49,25.9,1,,Wi-Fi,-26,1408.8,57,33,43,14.83,14.65,14.28,2
2026/01/30 16:30:58,25.9,1,,Wi-Fi,-28,1252.8,57,33,43,15.28,14.76,14.32,2
2026/01/30 16:31:07,25.9,1,,Wi-Fi,-26,1036.8,57,33,43,15.09,14.73,14.31,2
2026/01/30 16:31:16,25.9,1,,Wi-Fi,-27,1224.0,57,33,43,14.92,14.71,14.31,2
2026/01/30 16:31:25,25.9,1,,Wi-Fi,-28,1296.0,57,33,43,15.61,14.87,14.37,2
2026/01/30 16:31:34,25.9,1,,Wi-Fi,-26,1200.0,57,33,43,15.45,14.85,14.37,2
2026/01/30 16:31:44,25.9,1,,Wi-Fi,-28,1188.0,56,34,44,15.06,14.79,14.35,2
2026/01/30 16:31:53,25.9,1,,Wi-Fi,-27,1437.6,56,34,44,16.54,15.13,14.47,2
2026/01/30 16:32:02,25.9,1,,Wi-Fi,-28,1190.4,57,33,43,16.33,15.11,14.46,2
2026/01/30 16:32:12,25.9,1,,Wi-Fi,-28,1096.8,57,33,43,18.46,15.59,14.63,2
2026/01/30 16:32:21,25.9,1,,Wi-Fi,-26,1358.4,57,33,43,18.32,15.65,14.66,2
2026/01/30 16:32:30,25.9,1,,Wi-Fi,-26,988.8,57,33,43,17.95,15.66,14.67,2
2026/01/30 16:32:39,25.9,1,,Wi-Fi,-27,1154.4,57,33,43,17.75,15.69,14.69,2
2026/01/30 16:32:49,25.9,1,,Wi-Fi,-26,1375.2,57,33,43,17.03,15.6,14.67,2
