Timestamp,Screen_Brightness,Screen_On,Avg_Pixel_Gray,RSRP_dBm,Network_Type,WiFi_RSSI,CPU_Freq_Avg_MHz,CPU_Total%,CPU_User%,CPU_Idle%,Load1min,Load5min,Load15min,Wakelock_Count,Temperature_C
2026-01-31 15:12:18,43.5,1,N/A,N/A,N/A,-53,1039.2,27,13,73,12.66,14.44,14.03,0,42.8
2026-01-31 15:15:24,43.5,1,N/A,N/A,N/A,-53,2018.4,32,16,68,13.70,13.74,13.80,1,43.1
2026-01-31 15:18:27,43.1,1,N/A,N/A,N/A,-49,1754.4,29,13,71,11.73,12.81,13.42,0,39.8
2026-01-31 15:21:30,43.1,1,N/A,N/A,N/A,-50,1092,20,11,80,14.29,13.18,13.42,1,40.5
2026-01-31 15:24:35,43.1,1,N/A,N/A,N/A,-49,1075.2,38,16,62,13.88,13.57,13.53,1,39.9
2026-01-31 15:27:39,43.1,1,N/A,N/A,N/A,-45,904.8,45,18,55,14.67,14.30,13.84,1,39.9
2026-01-31 15:30:43,43.1,1,N/A,N/A,N/A,-46,936,34,13,66,14.35,14.18,13.86,1,41.8
2026-01-31 15:33:49,43.1,1,N/A,N/A,N/A,-52,1161.6,42,17,58,15.01,14.55,14.05,2,41.3
2026-01-31 15:36:55,45.1,1,N/A,N/A,N/A,-50,1387.2,36,16,64,14.79,14.57,14.14,1,41.1
2026-01-31 15:40:03,45.1,1,N/A,N/A,N/A,-50,991.2,35,14,65,12.65,13.73,13.89,1,39.8
2026-01-31 15:43:13,44.7,1,N/A,N/A,N/A,-53,1015.2,38,16,62,14.37,14.02,13.98,1,39.6
2026-01-31 15:46:19,44.7,1,N/A,N/A,N/A,-50,950.4,38,16,62,13.56,13.76,13.89,1,41
2026-01-31 15:49:24,44.7,1,N/A,N/A,N/A,-56,825.6,44,17,56,13.05,13.41,13.74,1,40.7
2026-01-31 15:52:31,44.7,1,N/A,N/A,N/A,-49,1060.8,51,18,49,15.32,14.13,13.94,1,40.4
2026-01-31 15:55:42,44.7,1,N/A,N/A,N/A,-42,933.6,50,17,50,14.03,14.19,14.02,1,40.3
2026-01-31 15:58:57,44.7,1,N/A,N/A,N/A,-55,842.4,52,18,48,13.30,14.13,14.05,1,42
2026-01-31 16:02:01,44.7,1,N/A,N/A,N/A,-49,921.6,42,16,58,14.90,13.94,13.94,1,40.9
