电量(%),时间
81,16:29
80,16:30
79,16:32
78,16:35
77,16:42
76,16:51
75,16:52
74,16:57
73,17:00
72,17:05
71,17:11
70,17:16
69,17:22
68,17:28
67,17:33
66,17:39
65,17:44
64,17:49
63,17:55
62,18:01
61,18:06
60,18:11
59,18:17
58,18:22
57,18:27
56,18:33
55,18:38
54,18:44
53,18:49
52,18:54
51,19:00
50,19:05
49,19:10
48,19:16
47,19:21
46,19:27
45,19:32
44,19:37
43,19:43
42,19:48
41,19:53
40,19:59
39,20:04
38,20:09
37,20:15
36,20:20
35,20:25
34,20:31
33,20:36
32,20:41
31,20:47
30,20:52
29,20:57
28,21:03
27,21:08
26,21:13
25,21:19
24,21:24
23,21:29
22,21:35
21,21:40
20,21:45
19,21:51
18,21:56
17,22:01
16,22:07
15,22:12
14,22:17
13,22:23
12,22:28
11,22:33
10,22:39
9,22:44
8,22:49
7,22:55
6,23:00
5,23:05
4,23:11
3,23:16
2,23:21
1,23:27
